,0,1,2,3,4
6,2016-10-20,微能科技,51%,1.89亿人民币,通鼎互联
7,2016-10-20,携程民宿业务,100%,未透露,途家
8,2016-10-17,贝付科技,未透露,未透露,唯品会
9,2016-10-12,跨学网,100%,2.51亿人民币,立思辰
10,2016-10-11,智游臻龙,100%,3亿人民币,文化长城
11,2016-10-09,小保公司,20%,1.68亿人民币,博瑞传播
12,2016-10-09,万达旅业,100%,未透露,同程旅游
13,2016-10-06,文思海辉,100%,6.75亿美元,海航资本
14,2016-09-26,百年英才,未透露,2.85亿人民币,立思辰
0,2016-09-26,钱袋宝,100%,数亿人民币,美团(新美大)
1,2016-09-26,好屋中国,75%,24亿人民币,明牌珠宝
2,2016-09-23,一花科技,100%,9.86亿人民币,天神娱乐
3,2016-09-21,微屏软件,93%,18.41亿人民币,金利科技
4,2016-09-19,北京培基教育,100%,3.8亿人民币,秀强股份
5,2016-09-19,和合谷,60%,1.17亿人民币,弘毅投资
6,2016-09-14,今典院线,100%,13.53亿人民币,完美世界
7,2016-09-13,宏投网络,51%,16.32亿人民币,中技控股
8,2016-09-13,下一站,100%,数百万人民币,ESN Group
9,2016-09-07,方纬科技,未透露,7696万人民币,佳都科技
10,2016-09-07,路标网,100%,未透露,猪八戒网
11,2016-09-06,药房网商城,100%,1.2亿人民币,泉源堂
12,2016-09-06,药团网,51%,2030万人民币,泉源堂
13,2016-09-05,ACESSAT唯佳教育,未透露,未透露,好未来(学而思)
14,2016-09-05,锐软科技,未透露,3.64亿人民币,东方国信
0,2016-09-02,成都摩奇卡卡,100%,10.5亿人民币,富春通信
1,2016-09-01,新浪阅读,17%,3亿人民币,中文在线
2,2016-08-26,广之旅,90%,10.71亿人民币,岭南财富
3,2016-08-24,神州通付,50%,3亿人民币,美的集团
4,2016-08-23,杭州星际,80%,1亿人民币,阿里影业(阿里巴巴)
5,2016-08-22,萝卜教育,未透露,未透露,猪八戒网
6,2016-08-20,华视新文化,49%,3.82亿人民币,雷曼光电
7,2016-08-18,银隆新能源,100%,130亿人民币,格力电器
8,2016-08-17,智铭网络,49%,2.55亿人民币,三七互娱
9,2016-08-09,搬矿科技,100%,数千万人民币,大智慧
10,2016-08-03,秒工作,70%,1000万人民币,百姓网
11,2016-08-02,中汇影视,未透露,12亿人民币,三七互娱
12,2016-08-02,大神电竞,100%,4.14亿人民币,万好万家文化
13,2016-08-01,优步Uber中国,100%,数亿美元,滴滴出行
14,2016-07-30,墨麟股份,98%,40.08亿人民币,卧龙地产
0,2016-07-27,时光网Mtime,100%,2.8亿美元,万达院线(万达影视)
1,2016-07-27,圣火药业,100%,18.9亿人民币,华润三九
