,0,1,2,3,4
4,2017-02-04,Niara,未透露,2940万美元,惠普
5,2017-02-03,Dailyhunt,未透露,1920万美元,今日头条
6,2017-02-02,Flipagram,100%,5000万美元,今日头条
7,2017-01-27,MoneyGram速汇金,100%,8.8亿美元,蚂蚁金服(阿里巴巴)
8,2017-01-25,Agile 3 Solutions,未透露,未透露,IBM
9,2017-01-25,AppDynamics,未透露,37亿美元,Cisco思科
10,2017-01-23,北欧院线Nordic Cinema Group,100%,9.3亿美元,万达院线(万达影视)
11,2017-01-20,Daymon,未透露,4.1亿美元,贝恩资本BainCapital
12,2017-01-20,Apiary,未透露,未透露,甲骨文Oracle
13,2017-01-19,Outfit7,未透露,73亿人民币,浙江金科
14,2017-01-19,Fabric,未透露,未透露,Google谷歌
0,2017-01-18,SimpliVity,未透露,6.5亿美元,惠普
1,2017-01-18,Simplygon,未透露,未透露,微软Microsoft
2,2017-01-18,Donya Labs,未透露,未透露,微软Microsoft
3,2017-01-16,ReviewPro,79%,2636万欧元,石基信息
4,2017-01-15,Maluuba,未透露,未透露,微软Microsoft
5,2017-01-10,harvest.ai,100%,未透露,Amazon亚马逊
6,2017-01-06,Limes Audio,未透露,未透露,Google Ventures
7,2017-01-04,HERE,15%,未透露,英特尔投资Intel Capital
8,2017-01-04,HexaTier,100%,4200万美元,华为
9,2016-12-29,The Eye Tribe,未透露,未透露,Oculus VR
10,2016-12-29,PayByPhone,未透露,未透露,大众资本
11,2016-12-27,Unister Travel,未透露,未透露,Rockaway Capital
12,2016-12-26,HERE,10%,未透露,四维图新
13,2016-12-22,Sanook,100%,未透露,腾讯
14,2016-12-20,Living Proof,未透露,未透露,联合利华
0,2016-12-20,Deepfield,未透露,未透露,Nokia诺基亚
1,2016-12-20,Rightware Oy,100%,6400万欧元,JJ比赛(竞技创投)
2,2016-12-20,PLUMGrid,未透露,未透露,VMware
3,2016-12-20,Thomsons Online Benefits,未透露,未透露,美世联合创投
4,2016-12-20,东芝医疗,未透露,395亿人民币,Canon佳能
5,2016-12-14,Cronologics,未透露,未透露,Google Ventures
6,2016-12-02,Product Hunt,未透露,未透露,AngelList
7,2016-12-02,AppFormix,未透露,未透露,Juniper Networks
8,2016-11-30,DeWAL Industries,未透露,未透露,Rogers Venture Partners
9,2016-11-25,QD Vision,未透露,7000万美元,Samsung Ventures三星
10,2016-11-24,Skyscanner天巡,100%,14亿英镑,携程
11,2016-11-24,Biba,未透露,未透露,Amazon亚马逊
12,2016-11-22,Dyn,未透露,6亿美元,甲骨文Oracle
13,2016-11-22,Qwiklabs,未透露,未透露,Google Ventures
14,2016-11-22,Machinima,未透露,未透露,Warner Bros.华纳兄弟
0,2016-11-18,Bit Stew,未透露,1.53亿美元,GE Ventures通用电气
1,2016-11-17,FacioMetrics,未透露,未透露,Facebook
2,2016-11-17,SocialRadar,未透露,未透露,Verizon Ventures
3,2016-11-17,NewNet Communication Technologies,未透露,未透露,Samsung Ventures三星
4,2016-11-15,Undecidable Labs,未透露,未透露,Google谷歌
5,2016-11-12,CrowdTangle,未透露,未透露,Facebook
6,2016-11-11,TubeMogul,未透露,5.4亿美元,Adobe Systems
7,2016-11-09,Oprea,100%,5.75亿美元,昆仑万维
8,2016-11-09,Blue Nile,100%,5亿美元,贝恩资本BainCapital
9,2016-11-07,Alcatel-Lucent,100%,未透露,Nokia诺基亚
10,2016-11-04,Voke,未透露,未透露,英特尔投资Intel Capital
11,2016-11-04,DCP集团,未透露,10亿美元,万达集团
12,2016-11-04,EatWith,未透露,未透露,TripAdvisor
13,2016-11-03,Preact,未透露,未透露,Spotify
14,2016-11-02,MAVinci,未透露,未透露,英特尔投资Intel Capital
0,2016-10-28,Tachyon,未透露,未透露,Samsung Ventures三星
1,2016-10-28,Sanovi Technologies,未透露,未透露,IBM
